,Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
54,"Mylicon Gas Relief Drops, Dye-Free Formula, 1oz: Babies, Infants",196192382881.0,Other,-,4.0,56.0,56.0,$0.00,$0.00,$0.00,$12.26,$0.00,$0.00,$7.22,$5.04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,43.74,14.0,4,4,0
55,"Stainless Steel Pull-Out Trash Drawer for Outdoor Kitchen, 10 Gallons",196289260802.0,Other,-,4.0,763.62,712.0,$0.00,$51.62,$0.00,$163.44,$0.00,$0.00,$94.71,$68.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,548.56,190.91,4,4,0
56,"Vitamin B2 400mg | 180 Tablets | Vegetarian | Non-GMO, Gluten Free",196116499080.0,Other,-,3.0,59.07,59.07,$0.00,$0.00,$0.00,$7.60,$0.00,$0.00,$7.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,51.47,19.69,0,0,0
57,S.Pellegrino Sparkling Natural Mineral Water Unflavored 11.15 Fl. Oz Pack of 24,196119906328.0,Other,-,3.0,66.0,66.0,$0.00,$0.00,$0.00,$14.72,$0.00,$0.00,$8.45,$6.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,51.28,22.0,3,3,0
58,"CRAFTSMAN Home Tool Set / Mechanics Tools Kit, 102-Piece (CMMT99448)",196124091188.0,Other,-,3.0,487.28,456.81,$0.00,$30.47,$0.00,$92.13,$0.00,$0.00,$61.08,$30.70,$0.00,$0.00,$0.35,$0.00,$0.00,$0.00,$0.00,$0.00,364.68,162.43,3,0,0
59,Herring Whole Fish Dog Treat 3-Oz Bag,196124120595.0,Other,-,3.0,58.56,54.99,$0.00,$3.57,$0.00,$7.53,$0.00,$0.00,$7.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,47.46,19.52,0,3,0
60,Breath Pearls Original Freshens Breath (50 softgels),196126109488.0,Other,-,3.0,69.28,63.27,$0.00,$6.01,$0.00,$11.98,$0.00,$0.00,$8.86,$3.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,51.29,23.09,3,0,0
61,"DenTek Comfort-Fit Dental Guards for Nighttime Teeth Grinding, 2 Count",196126111733.0,Other,-,3.0,94.87,88.72,$0.00,$6.15,$0.00,$19.16,$0.00,$0.00,$12.52,$6.64,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,69.56,31.62,3,0,0
62,WILSON Volleyball,196129267450.0,Other,-,3.0,57.96,54.43,$0.00,$3.53,$0.00,$11.12,$0.00,$0.00,$8.06,$3.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,43.31,19.32,2,1,0
63,"Signature's Dried Plums Pitted Prunes, 3.5 Pounds",196133078014.0,Other,-,3.0,55.0,55.0,$0.00,$0.00,$0.00,$9.88,$0.00,$0.00,$7.40,$2.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,45.12,18.33,3,3,0
64,"Swanson Canned Chicken a la King With White and Dark Chicken Meat, 10.5 OZ Can",196133082497.0,Other,-,3.0,21.64,20.91,$0.00,$0.73,$0.00,$3.92,$0.00,$0.00,$4.48,$0.65,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1.21,$0.00,16.99,7.21,3,0,0
65,Domino Sugar,196167758056.0,Other,-,3.0,28.46,28.46,$0.00,$0.00,$0.00,$7.74,$0.00,$0.00,$5.90,$1.84,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,20.72,9.49,2,1,0
66,"Sharpie Permanent Markers, Fine Point, Black, 12 Count",196169212447.0,Other,-,3.0,54.48,51.23,$0.00,$3.25,$0.00,$11.30,$0.00,$0.00,$7.43,$3.87,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,39.93,18.16,3,0,0
67,"Kashi GO, Breakfast Cereal, Original, Excellent Source of Fiber, 13.1oz Box",196169229492.0,Other,-,3.0,23.25,23.25,$0.00,$0.00,$0.00,$10.08,$0.00,$0.00,$8.83,$0.00,$0.00,$0.00,$0.09,$0.00,$0.00,$0.00,$5.56,$6.72,13.17,7.75,0,0,0
68,"Special K Cereal Cinnamon Pecan, 12.1 oz",196169230348.0,Other,-,3.0,57.2,54.21,$0.00,$2.99,$0.00,$17.58,$0.00,$0.00,$7.36,$5.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.07,36.63,19.07,3,0,0
